Export of Imageset multipleballs (ball annotations in bounding boxes)
[team|labvision1819/multipleballs]
[set|multipleballs]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]
label::ball|frame0343.jpg|640|480|356|255|384|281|370.0|268.0|28|26
label::ball|frame0342.jpg|640|480|218|277|252|309|235.0|293.0|34|32
label::ball|frame0342.jpg|640|480|343|253|381|286|362.0|269.5|38|33
label::ball|frame0341.jpg|640|480|219|279|262|314|240.5|296.5|43|35
label::ball|frame0341.jpg|640|480|334|248|368|281|351.0|264.5|34|33
label::ball|frame0340.jpg|640|480|227|277|268|319|247.5|298.0|41|42
label::ball|frame0340.jpg|640|480|327|244|360|276|343.5|260.0|33|32
label::ball|frame0339.jpg|640|480|229|284|268|321|248.5|302.5|39|37
label::ball|frame0339.jpg|640|480|312|247|347|275|329.5|261.0|35|28
label::ball|frame0338.jpg|640|480|240|288|273|322|256.5|305.0|33|34
label::ball|frame0338.jpg|640|480|299|238|332|267|315.5|252.5|33|29
label::ball|frame0337.jpg|640|480|244|292|279|327|261.5|309.5|35|35
label::ball|frame0337.jpg|640|480|286|233|317|262|301.5|247.5|31|29
label::ball|frame0336.jpg|640|480|257|299|292|343|274.5|321.0|35|44
label::ball|frame0336.jpg|640|480|274|227|299|257|286.5|242.0|25|30
label::ball|frame0335.jpg|640|480|257|224|288|249|272.5|236.5|31|25
label::ball|frame0335.jpg|640|480|266|312|305|352|285.5|332.0|39|40
label::ball|frame0334.jpg|640|480|245|228|272|253|258.5|240.5|27|25
label::ball|frame0334.jpg|640|480|279|326|324|370|301.5|348.0|45|44
label::ball|frame0333.jpg|640|480|236|229|265|254|250.5|241.5|29|25
label::ball|frame0333.jpg|640|480|293|345|343|393|318.0|369.0|50|48
label::ball|frame0332.jpg|640|480|226|233|251|260|238.5|246.5|25|27
label::ball|frame0332.jpg|640|480|310|360|358|410|334.0|385.0|48|50
label::ball|frame0331.jpg|640|480|331|389|384|441|357.5|415.0|53|52
label::ball|frame0331.jpg|640|480|214|238|238|261|226.0|249.5|24|23
label::ball|frame0330.jpg|640|480|203|240|227|266|215.0|253.0|24|26
label::ball|frame0330.jpg|640|480|360|412|413|468|386.5|440.0|53|56
label::ball|frame0329.jpg|640|480|405|460|460|480|432.5|470.0|55|20
label::ball|frame0329.jpg|640|480|203|241|230|268|216.5|254.5|27|27
label::ball|frame0328.jpg|640|480|203|240|229|273|216.0|256.5|26|33
label::ball|frame0327.jpg|640|480|195|239|229|268|212.0|253.5|34|29
label::ball|frame0326.jpg|640|480|199|240|228|271|213.5|255.5|29|31
label::ball|frame0325.jpg|640|480|194|242|225|273|209.5|257.5|31|31
label::ball|frame0324.jpg|640|480|191|249|220|276|205.5|262.5|29|27
label::ball|frame0323.jpg|640|480|184|251|218|279|201.0|265.0|34|28
label::ball|frame0323.jpg|640|480|423|422|476|480|449.5|451.0|53|58
label::ball|frame0322.jpg|640|480|181|252|216|281|198.5|266.5|35|29
label::ball|frame0322.jpg|640|480|435|388|482|443|458.5|415.5|47|55
label::ball|frame0321.jpg|640|480|183|254|214|286|198.5|270.0|31|32
label::ball|frame0321.jpg|640|480|430|367|478|415|454.0|391.0|48|48
label::ball|frame0320.jpg|640|480|182|253|216|286|199.0|269.5|34|33
label::ball|frame0320.jpg|640|480|417|351|461|397|439.0|374.0|44|46
label::ball|frame0319.jpg|640|480|184|251|217|285|200.5|268.0|33|34
label::ball|frame0319.jpg|640|480|396|334|439|380|417.5|357.0|43|46
label::ball|frame0318.jpg|640|480|182|254|214|281|198.0|267.5|32|27
label::ball|frame0318.jpg|640|480|377|317|421|363|399.0|340.0|44|46
label::ball|frame0317.jpg|640|480|181|250|214|280|197.5|265.0|33|30
label::ball|frame0317.jpg|640|480|358|305|395|347|376.5|326.0|37|42
label::ball|frame0316.jpg|640|480|183|253|217|285|200.0|269.0|34|32
label::ball|frame0316.jpg|640|480|331|288|370|329|350.5|308.5|39|41
label::ball|frame0315.jpg|640|480|188|251|214|283|201.0|267.0|26|32
label::ball|frame0315.jpg|640|480|311|277|345|312|328.0|294.5|34|35
label::ball|frame0314.jpg|640|480|181|252|217|284|199.0|268.0|36|32
label::ball|frame0314.jpg|640|480|296|283|336|317|316.0|300.0|40|34
label::ball|frame0313.jpg|640|480|181|254|216|286|198.5|270.0|35|32
label::ball|frame0313.jpg|640|480|279|284|320|324|299.5|304.0|41|40
label::ball|frame0312.jpg|640|480|182|255|215|284|198.5|269.5|33|29
label::ball|frame0312.jpg|640|480|261|293|303|334|282.0|313.5|42|41
label::ball|frame0311.jpg|640|480|184|252|218|284|201.0|268.0|34|32
label::ball|frame0311.jpg|640|480|240|304|283|349|261.5|326.5|43|45
label::ball|frame0310.jpg|640|480|182|255|218|286|200.0|270.5|36|31
label::ball|frame0310.jpg|640|480|214|315|257|360|235.5|337.5|43|45
label::ball|frame0309.jpg|640|480|183|254|212|279|197.5|266.5|29|25
label::ball|frame0309.jpg|640|480|184|329|235|373|209.5|351.0|51|44
label::ball|frame0308.jpg|640|480|155|347|199|395|177.0|371.0|44|48
label::ball|frame0308.jpg|640|480|182|253|212|284|197.0|268.5|30|31
label::ball|frame0307.jpg|640|480|181|255|217|284|199.0|269.5|36|29
label::ball|frame0307.jpg|640|480|110|369|154|418|132.0|393.5|44|49
label::ball|frame0306.jpg|640|480|109|361|156|412|132.5|386.5|47|51
label::ball|frame0306.jpg|640|480|187|254|216|284|201.5|269.0|29|30
label::ball|frame0305.jpg|640|480|118|352|156|396|137.0|374.0|38|44
label::ball|frame0305.jpg|640|480|191|255|220|287|205.5|271.0|29|32
label::ball|frame0304.jpg|640|480|118|345|163|386|140.5|365.5|45|41
label::ball|frame0304.jpg|640|480|199|257|225|287|212.0|272.0|26|30
label::ball|frame0303.jpg|640|480|120|332|159|374|139.5|353.0|39|42
label::ball|frame0303.jpg|640|480|203|255|233|287|218.0|271.0|30|32
label::ball|frame0302.jpg|640|480|120|320|158|361|139.0|340.5|38|41
label::ball|frame0302.jpg|640|480|214|256|244|288|229.0|272.0|30|32
label::ball|frame0301.jpg|640|480|117|311|158|349|137.5|330.0|41|38
label::ball|frame0301.jpg|640|480|225|257|260|291|242.5|274.0|35|34
label::ball|frame0300.jpg|640|480|110|313|152|353|131.0|333.0|42|40
label::ball|frame0300.jpg|640|480|242|262|273|291|257.5|276.5|31|29
label::ball|frame0299.jpg|640|480|110|317|146|356|128.0|336.5|36|39
label::ball|frame0299.jpg|640|480|255|261|290|292|272.5|276.5|35|31
label::ball|frame0298.jpg|640|480|103|321|139|360|121.0|340.5|36|39
label::ball|frame0298.jpg|640|480|271|262|305|296|288.0|279.0|34|34
label::ball|frame0297.jpg|640|480|92|334|131|372|111.5|353.0|39|38
label::ball|frame0297.jpg|640|480|292|264|331|295|311.5|279.5|39|31
label::ball|frame0296.jpg|640|480|81|345|122|383|101.5|364.0|41|38
label::ball|frame0296.jpg|640|480|320|262|351|292|335.5|277.0|31|30
label::ball|frame0295.jpg|640|480|81|345|122|385|101.5|365.0|41|40
label::ball|frame0295.jpg|640|480|347|268|379|297|363.0|282.5|32|29
label::ball|frame0294.jpg|640|480|96|331|140|369|118.0|350.0|44|38
label::ball|frame0294.jpg|640|480|358|263|395|298|376.5|280.5|37|35
label::ball|frame0293.jpg|640|480|109|316|151|357|130.0|336.5|42|41
label::ball|frame0293.jpg|640|480|357|273|395|305|376.0|289.0|38|32
label::ball|frame0292.jpg|640|480|122|307|161|346|141.5|326.5|39|39
label::ball|frame0292.jpg|640|480|360|286|396|321|378.0|303.5|36|35
label::ball|frame0291.jpg|640|480|129|305|169|345|149.0|325.0|40|40
label::ball|frame0291.jpg|640|480|359|296|398|338|378.5|317.0|39|42
label::ball|frame0290.jpg|640|480|141|308|181|349|161.0|328.5|40|41
label::ball|frame0290.jpg|640|480|358|314|401|360|379.5|337.0|43|46
label::ball|frame0289.jpg|640|480|157|315|201|356|179.0|335.5|44|41
label::ball|frame0289.jpg|640|480|360|338|410|386|385.0|362.0|50|48
label::ball|frame0288.jpg|640|480|176|324|220|365|198.0|344.5|44|41
label::ball|frame0288.jpg|640|480|372|347|422|394|397.0|370.5|50|47
label::ball|frame0287.jpg|640|480|196|327|244|373|220.0|350.0|48|46
label::ball|frame0287.jpg|640|480|375|345|419|391|397.0|368.0|44|46
label::ball|frame0286.jpg|640|480|229|332|278|377|253.5|354.5|49|45
label::ball|frame0286.jpg|640|480|361|329|405|371|383.0|350.0|44|42
label::ball|frame0285.jpg|640|480|243|336|289|380|266.0|358.0|46|44
label::ball|frame0285.jpg|640|480|353|314|393|353|373.0|333.5|40|39
label::ball|frame0284.jpg|640|480|243|336|286|382|264.5|359.0|43|46
label::ball|frame0284.jpg|640|480|337|303|379|343|358.0|323.0|42|40
label::ball|frame0283.jpg|640|480|237|335|287|382|262.0|358.5|50|47
label::ball|frame0283.jpg|640|480|327|288|364|322|345.5|305.0|37|34
label::ball|frame0282.jpg|640|480|243|332|288|380|265.5|356.0|45|48
label::ball|frame0282.jpg|640|480|315|272|347|304|331.0|288.0|32|32
label::ball|frame0281.jpg|640|480|248|332|297|381|272.5|356.5|49|49
label::ball|frame0281.jpg|640|480|310|268|344|299|327.0|283.5|34|31
label::ball|frame0280.jpg|640|480|263|331|310|376|286.5|353.5|47|45
label::ball|frame0280.jpg|640|480|315|269|347|303|331.0|286.0|32|34
label::ball|frame0279.jpg|640|480|316|271|351|310|333.5|290.5|35|39
label::ball|frame0279.jpg|640|480|279|332|323|373|301.0|352.5|44|41
label::ball|frame0278.jpg|640|480|297|327|341|375|319.0|351.0|44|48
label::ball|frame0278.jpg|640|480|316|279|353|313|334.5|296.0|37|34
label::ball|frame0277.jpg|640|480|314|324|360|367|337.0|345.5|46|43
label::ball|frame0277.jpg|640|480|319|286|356|324|337.5|305.0|37|38
label::ball|frame0276.jpg|640|480|316|297|355|334|335.5|315.5|39|37
label::ball|frame0276.jpg|640|480|329|326|375|364|352.0|345.0|46|38
label::ball|frame0275.jpg|640|480|301|305|343|344|322.0|324.5|42|39
label::ball|frame0275.jpg|640|480|384|331|425|373|404.5|352.0|41|42
label::ball|frame0274.jpg|640|480|271|307|309|344|290.0|325.5|38|37
label::ball|frame0274.jpg|640|480|382|322|422|365|402.0|343.5|40|43
label::ball|frame0273.jpg|640|480|236|307|283|349|259.5|328.0|47|42
label::ball|frame0273.jpg|640|480|364|314|411|357|387.5|335.5|47|43
label::ball|frame0272.jpg|640|480|196|305|240|347|218.0|326.0|44|42
label::ball|frame0272.jpg|640|480|347|301|388|340|367.5|320.5|41|39
label::ball|frame0271.jpg|640|480|165|305|205|347|185.0|326.0|40|42
label::ball|frame0271.jpg|640|480|339|290|372|328|355.5|309.0|33|38
label::ball|frame0270.jpg|640|480|118|308|159|347|138.5|327.5|41|39
label::ball|frame0270.jpg|640|480|324|274|358|310|341.0|292.0|34|36
label::ball|frame0269.jpg|640|480|98|308|133|344|115.5|326.0|35|36
label::ball|frame0269.jpg|640|480|324|271|358|302|341.0|286.5|34|31
label::ball|frame0268.jpg|640|480|94|308|131|345|112.5|326.5|37|37
label::ball|frame0268.jpg|640|480|321|269|356|302|338.5|285.5|35|33
label::ball|frame0267.jpg|640|480|95|305|131|345|113.0|325.0|36|40
label::ball|frame0267.jpg|640|480|320|268|353|303|336.5|285.5|33|35
label::ball|frame0266.jpg|640|480|94|304|129|341|111.5|322.5|35|37
label::ball|frame0266.jpg|640|480|316|268|352|303|334.0|285.5|36|35
label::ball|frame0265.jpg|640|480|89|300|127|340|108.0|320.0|38|40
label::ball|frame0265.jpg|640|480|314|264|352|297|333.0|280.5|38|33
label::ball|frame0264.jpg|640|480|87|299|123|336|105.0|317.5|36|37
label::ball|frame0264.jpg|640|480|314|242|345|277|329.5|259.5|31|35
label::ball|frame0263.jpg|640|480|87|302|120|337|103.5|319.5|33|35
label::ball|frame0263.jpg|640|480|303|227|331|257|317.0|242.0|28|30
label::ball|frame0262.jpg|640|480|84|303|120|336|102.0|319.5|36|33
label::ball|frame0262.jpg|640|480|303|247|332|278|317.5|262.5|29|31
label::ball|frame0261.jpg|640|480|83|307|116|341|99.5|324.0|33|34
label::ball|frame0261.jpg|640|480|314|260|346|290|330.0|275.0|32|30
label::ball|frame0260.jpg|640|480|328|268|367|308|347.5|288.0|39|40
label::ball|frame0260.jpg|640|480|77|310|113|345|95.0|327.5|36|35
label::ball|frame0259.jpg|640|480|75|324|110|355|92.5|339.5|35|31
label::ball|frame0259.jpg|640|480|353|286|386|323|369.5|304.5|33|37
label::ball|frame0258.jpg|640|480|383|310|427|349|405.0|329.5|44|39
label::ball|frame0258.jpg|640|480|70|331|105|365|87.5|348.0|35|34
label::ball|frame0257.jpg|640|480|63|340|98|374|80.5|357.0|35|34
label::ball|frame0257.jpg|640|480|408|320|447|359|427.5|339.5|39|39
label::ball|frame0256.jpg|640|480|51|351|94|388|72.5|369.5|43|37
label::ball|frame0256.jpg|640|480|397|325|440|364|418.5|344.5|43|39
label::ball|frame0255.jpg|640|480|49|347|91|386|70.0|366.5|42|39
label::ball|frame0255.jpg|640|480|392|325|435|370|413.5|347.5|43|45
label::ball|frame0254.jpg|640|480|59|336|99|379|79.0|357.5|40|43
label::ball|frame0254.jpg|640|480|383|331|425|375|404.0|353.0|42|44
label::ball|frame0253.jpg|640|480|72|325|112|369|92.0|347.0|40|44
label::ball|frame0253.jpg|640|480|359|323|397|362|378.0|342.5|38|39
label::ball|frame0252.jpg|640|480|87|321|124|358|105.5|339.5|37|37
label::ball|frame0252.jpg|640|480|332|311|380|347|356.0|329.0|48|36
label::ball|frame0251.jpg|640|480|103|307|136|340|119.5|323.5|33|33
label::ball|frame0251.jpg|640|480|314|304|352|338|333.0|321.0|38|34
label::ball|frame0250.jpg|640|480|120|291|155|331|137.5|311.0|35|40
label::ball|frame0250.jpg|640|480|299|290|334|327|316.5|308.5|35|37
label::ball|frame0249.jpg|640|480|137|280|172|314|154.5|297.0|35|34
label::ball|frame0249.jpg|640|480|297|273|336|312|316.5|292.5|39|39
label::ball|frame0248.jpg|640|480|153|269|189|301|171.0|285.0|36|32
label::ball|frame0248.jpg|640|480|305|273|338|310|321.5|291.5|33|37
label::ball|frame0247.jpg|640|480|145|272|181|305|163.0|288.5|36|33
label::ball|frame0247.jpg|640|480|312|273|347|301|329.5|287.0|35|28
label::ball|frame0246.jpg|640|480|137|275|179|310|158.0|292.5|42|35
label::ball|frame0246.jpg|640|480|321|268|357|303|339.0|285.5|36|35
label::ball|frame0245.jpg|640|480|334|261|367|295|350.5|278.0|33|34
label::ball|frame0245.jpg|640|480|135|281|172|312|153.5|296.5|37|31
label::ball|frame0244.jpg|640|480|349|260|377|287|363.0|273.5|28|27
label::ball|frame0244.jpg|640|480|129|288|163|321|146.0|304.5|34|33
label::ball|frame0243.jpg|640|480|349|259|382|290|365.5|274.5|33|31
label::ball|frame0243.jpg|640|480|118|292|153|329|135.5|310.5|35|37
label::ball|frame0242.jpg|640|480|349|257|384|292|366.5|274.5|35|35
label::ball|frame0242.jpg|640|480|106|301|146|338|126.0|319.5|40|37
label::ball|frame0241.jpg|640|480|350|257|373|289|361.5|273.0|23|32
label::ball|frame0241.jpg|640|480|92|316|133|351|112.5|333.5|41|35
label::ball|frame0240.jpg|640|480|351|257|371|286|361.0|271.5|20|29
label::ball|frame0240.jpg|640|480|77|325|120|361|98.5|343.0|43|36
label::ball|frame0239.jpg|640|480|353|263|382|292|367.5|277.5|29|29
label::ball|frame0239.jpg|640|480|57|344|100|383|78.5|363.5|43|39
label::ball|frame0238.jpg|640|480|355|260|381|291|368.0|275.5|26|31
label::ball|frame0238.jpg|640|480|61|346|98|382|79.5|364.0|37|36
label::ball|frame0237.jpg|640|480|349|260|383|290|366.0|275.0|34|30
label::ball|frame0237.jpg|640|480|56|345|101|384|78.5|364.5|45|39
label::ball|frame0236.jpg|640|480|351|260|382|290|366.5|275.0|31|30
label::ball|frame0236.jpg|640|480|57|346|103|385|80.0|365.5|46|39
label::ball|frame0235.jpg|640|480|58|359|89|382|73.5|370.5|31|23
label::ball|frame0235.jpg|640|480|355|260|384|289|369.5|274.5|29|29
label::ball|frame0234.jpg|640|480|351|260|384|287|367.5|273.5|33|27
label::ball|frame0234.jpg|640|480|63|347|100|384|81.5|365.5|37|37
label::ball|frame0233.jpg|640|480|57|345|98|385|77.5|365.0|41|40
label::ball|frame0233.jpg|640|480|353|257|385|288|369.0|272.5|32|31
label::ball|frame0232.jpg|640|480|353|257|385|288|369.0|272.5|32|31
label::ball|frame0232.jpg|640|480|55|339|98|383|76.5|361.0|43|44
label::ball|frame0231.jpg|640|480|55|339|98|383|76.5|361.0|43|44
label::ball|frame0231.jpg|640|480|349|260|383|291|366.0|275.5|34|31
label::ball|frame0230.jpg|640|480|349|260|383|291|366.0|275.5|34|31
label::ball|frame0230.jpg|640|480|58|347|100|386|79.0|366.5|42|39
label::ball|frame0229.jpg|640|480|58|347|100|386|79.0|366.5|42|39
label::ball|frame0229.jpg|640|480|352|257|385|290|368.5|273.5|33|33
label::ball|frame0228.jpg|640|480|352|257|385|290|368.5|273.5|33|33
label::ball|frame0228.jpg|640|480|61|347|98|380|79.5|363.5|37|33
label::ball|frame0227.jpg|640|480|352|263|382|290|367.0|276.5|30|27
label::ball|frame0227.jpg|640|480|59|345|98|385|78.5|365.0|39|40
label::ball|frame0226.jpg|640|480|347|256|384|289|365.5|272.5|37|33
label::ball|frame0226.jpg|640|480|52|345|100|386|76.0|365.5|48|41
label::ball|frame0225.jpg|640|480|347|262|385|290|366.0|276.0|38|28
label::ball|frame0225.jpg|640|480|61|347|98|386|79.5|366.5|37|39
label::ball|frame0224.jpg|640|480|350|257|384|290|367.0|273.5|34|33
label::ball|frame0224.jpg|640|480|58|344|97|384|77.5|364.0|39|40
label::ball|frame0223.jpg|640|480|351|260|387|292|369.0|276.0|36|32
label::ball|frame0223.jpg|640|480|59|341|100|383|79.5|362.0|41|42
label::ball|frame0222.jpg|640|480|348|260|383|285|365.5|272.5|35|25
label::ball|frame0222.jpg|640|480|59|343|103|384|81.0|363.5|44|41
label::ball|frame0221.jpg|640|480|349|257|384|286|366.5|271.5|35|29
label::ball|frame0221.jpg|640|480|60|341|98|384|79.0|362.5|38|43
label::ball|frame0220.jpg|640|480|350|255|382|292|366.0|273.5|32|37
label::ball|frame0220.jpg|640|480|59|347|101|385|80.0|366.0|42|38
label::ball|frame0219.jpg|640|480|59|343|101|384|80.0|363.5|42|41
label::ball|frame0219.jpg|640|480|352|260|384|290|368.0|275.0|32|30
label::ball|frame0218.jpg|640|480|55|345|99|385|77.0|365.0|44|40
label::ball|frame0218.jpg|640|480|349|256|386|290|367.5|273.0|37|34
label::ball|frame0217.jpg|640|480|56|347|98|384|77.0|365.5|42|37
label::ball|frame0217.jpg|640|480|352|259|384|290|368.0|274.5|32|31
label::ball|frame0216.jpg|640|480|59|344|101|385|80.0|364.5|42|41
label::ball|frame0216.jpg|640|480|351|262|382|289|366.5|275.5|31|27
label::ball|frame0215.jpg|640|480|59|345|98|384|78.5|364.5|39|39
label::ball|frame0215.jpg|640|480|351|259|385|291|368.0|275.0|34|32
label::ball|frame0214.jpg|640|480|59|346|98|382|78.5|364.0|39|36
label::ball|frame0214.jpg|640|480|348|259|385|289|366.5|274.0|37|30
label::ball|frame0213.jpg|640|480|57|343|97|384|77.0|363.5|40|41
label::ball|frame0213.jpg|640|480|351|260|385|291|368.0|275.5|34|31
label::ball|frame0212.jpg|640|480|62|343|103|384|82.5|363.5|41|41
label::ball|frame0212.jpg|640|480|351|260|385|290|368.0|275.0|34|30
label::ball|frame0211.jpg|640|480|68|341|111|383|89.5|362.0|43|42
label::ball|frame0211.jpg|640|480|351|257|381|288|366.0|272.5|30|31
label::ball|frame0210.jpg|640|480|76|338|117|380|96.5|359.0|41|42
label::ball|frame0210.jpg|640|480|351|260|385|289|368.0|274.5|34|29
label::ball|frame0209.jpg|640|480|83|338|124|380|103.5|359.0|41|42
label::ball|frame0209.jpg|640|480|349|257|383|290|366.0|273.5|34|33
label::ball|frame0208.jpg|640|480|349|257|383|288|366.0|272.5|34|31
label::ball|frame0208.jpg|640|480|68|350|110|389|89.0|369.5|42|39
label::ball|frame0207.jpg|640|480|351|257|384|292|367.5|274.5|33|35
label::ball|frame0207.jpg|640|480|52|361|98|406|75.0|383.5|46|45
label::ball|frame0206.jpg|640|480|351|256|385|291|368.0|273.5|34|35
label::ball|frame0206.jpg|640|480|33|386|74|427|53.5|406.5|41|41
label::ball|frame0205.jpg|640|480|9|403|59|444|34.0|423.5|50|41
label::ball|frame0205.jpg|640|480|350|255|382|288|366.0|271.5|32|33
label::ball|frame0204.jpg|640|480|2|423|39|470|20.5|446.5|37|47
label::ball|frame0204.jpg|640|480|351|260|384|288|367.5|274.0|33|28
label::ball|frame0203.jpg|640|480|2|432|35|476|18.5|454.0|33|44
label::ball|frame0203.jpg|640|480|351|259|384|291|367.5|275.0|33|32
label::ball|frame0202.jpg|640|480|2|429|35|478|18.5|453.5|33|49
label::ball|frame0202.jpg|640|480|351|260|382|289|366.5|274.5|31|29
label::ball|frame0201.jpg|640|480|2|429|31|480|16.5|454.5|29|51
label::ball|frame0201.jpg|640|480|353|262|383|292|368.0|277.0|30|30
label::ball|frame0200.jpg|640|480|0|430|35|480|17.5|455.0|35|50
label::ball|frame0200.jpg|640|480|351|259|384|287|367.5|273.0|33|28
label::ball|frame0199.jpg|640|480|0|429|34|479|17.0|454.0|34|50
label::ball|frame0199.jpg|640|480|351|261|382|287|366.5|274.0|31|26
label::ball|frame0198.jpg|640|480|1|429|37|479|19.0|454.0|36|50
label::ball|frame0198.jpg|640|480|352|260|384|289|368.0|274.5|32|29
label::ball|frame0197.jpg|640|480|3|430|33|478|18.0|454.0|30|48
label::ball|frame0197.jpg|640|480|352|260|384|288|368.0|274.0|32|28
label::ball|frame0196.jpg|640|480|3|428|38|478|20.5|453.0|35|50
label::ball|frame0196.jpg|640|480|352|260|384|291|368.0|275.5|32|31
label::ball|frame0195.jpg|640|480|0|430|34|480|17.0|455.0|34|50
label::ball|frame0195.jpg|640|480|351|257|385|290|368.0|273.5|34|33
label::ball|frame0194.jpg|640|480|3|433|32|476|17.5|454.5|29|43
label::ball|frame0193.jpg|640|480|2|427|37|479|19.5|453.0|35|52
label::ball|frame0193.jpg|640|480|353|259|373|287|363.0|273.0|20|28
label::ball|frame0192.jpg|640|480|350|257|377|286|363.5|271.5|27|29
label::ball|frame0192.jpg|640|480|3|429|32|476|17.5|452.5|29|47
label::ball|frame0191.jpg|640|480|353|262|377|287|365.0|274.5|24|25
label::ball|frame0191.jpg|640|480|1|433|33|477|17.0|455.0|32|44
label::ball|frame0190.jpg|640|480|2|429|32|478|17.0|453.5|30|49
label::ball|frame0190.jpg|640|480|351|262|384|289|367.5|275.5|33|27
label::ball|frame0189.jpg|640|480|1|434|33|480|17.0|457.0|32|46
label::ball|frame0189.jpg|640|480|353|262|383|288|368.0|275.0|30|26
label::ball|frame0188.jpg|640|480|0|432|32|477|16.0|454.5|32|45
label::ball|frame0188.jpg|640|480|353|257|382|288|367.5|272.5|29|31
label::ball|frame0187.jpg|640|480|1|430|34|478|17.5|454.0|33|48
label::ball|frame0187.jpg|640|480|353|262|381|288|367.0|275.0|28|26
label::ball|frame0186.jpg|640|480|0|432|33|476|16.5|454.0|33|44
label::ball|frame0186.jpg|640|480|355|264|381|288|368.0|276.0|26|24
label::ball|frame0185.jpg|640|480|1|433|33|478|17.0|455.5|32|45
label::ball|frame0185.jpg|640|480|348|254|384|285|366.0|269.5|36|31
label::ball|frame0184.jpg|640|480|1|430|33|478|17.0|454.0|32|48
label::ball|frame0183.jpg|640|480|1|431|31|478|16.0|454.5|30|47
label::ball|frame0183.jpg|640|480|345|224|370|249|357.5|236.5|25|25
label::ball|frame0182.jpg|640|480|2|432|33|477|17.5|454.5|31|45
label::ball|frame0181.jpg|640|480|351|151|376|173|363.5|162.0|25|22
label::ball|frame0181.jpg|640|480|0|430|36|476|18.0|453.0|36|46
label::ball|frame0180.jpg|640|480|2|427|33|480|17.5|453.5|31|53
label::ball|frame0180.jpg|640|480|349|141|373|163|361.0|152.0|24|22
label::ball|frame0179.jpg|640|480|4|430|33|478|18.5|454.0|29|48
label::ball|frame0179.jpg|640|480|341|134|371|160|356.0|147.0|30|26
label::ball|frame0178.jpg|640|480|345|140|367|161|356.0|150.5|22|21
label::ball|frame0178.jpg|640|480|2|434|31|476|16.5|455.0|29|42
label::ball|frame0177.jpg|640|480|1|431|36|476|18.5|453.5|35|45
